xflr5 v6.51

 Calculated polar for: E421 Spline Foil

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.029     Re =     0.278 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-10.000, 0.3248, 0.08685, 0.08230,-0.1547,0.7233,0.0402,-1.0773, 0.0000, 0.7571
 -9.500, 0.3457, 0.08325, 0.07857,-0.1554,0.7020,0.0420,-0.9963, 0.0000, 0.7271
 -9.000, 0.3627, 0.07950, 0.07464,-0.1567,0.6844,0.0446,-1.0123, 0.0000, 0.7070
 -8.500, 0.3556, 0.07653, 0.07174,-0.1582,0.6720,0.0482,-1.1186, 0.0000, 0.7186
 -8.000, 0.3561, 0.07276, 0.06789,-0.1592,0.6594,0.0486,-1.2402, 0.0000, 0.7192
 -7.500, 0.3672, 0.06708, 0.06223,-0.1580,0.6484,0.0499,-1.2450, 0.0000, 0.7004
 -7.000, 0.3870, 0.06404, 0.05917,-0.1559,0.6367,0.0519,-1.1621, 0.0000, 0.6706
 -6.500, 0.3920, 0.06078, 0.05583,-0.1550,0.6257,0.0560,-1.1962, 0.0000, 0.6613
 -6.000, 0.2767, 0.03930, 0.03443,-0.1647,0.6232,0.0392,-2.6581, 0.0000, 0.8667
 -5.500, 0.3143, 0.03703, 0.03212,-0.1665,0.6142,0.0416,-2.4292, 0.0000, 0.7968
 -5.000, 0.3527, 0.02038, 0.01363,-0.1814,0.6070,0.0459,-2.8813, 0.0000, 0.7786
 -4.500, 0.4063, 0.01809, 0.01060,-0.1818,0.5976,0.0503,-2.6609, 0.0000, 0.7086
 -4.000, 0.4590, 0.01718, 0.00955,-0.1813,0.5900,0.0562,-2.3561, 0.0000, 0.6536
 -3.500, 0.5118, 0.01620, 0.00839,-0.1807,0.5820,0.0642,-2.0656, 0.0000, 0.6095
 -3.000, 0.5659, 0.01572, 0.00776,-0.1802,0.5743,0.0772,-1.7598, 0.0000, 0.5731
 -2.500, 0.6227, 0.01557, 0.00743,-0.1803,0.5653,0.0947,-1.4936, 0.0000, 0.5426
 -2.000, 0.6743, 0.01531, 0.00723,-0.1793,0.5591,0.1183,-1.2650, 0.0000, 0.5176
 -1.500, 0.7275, 0.01527, 0.00718,-0.1785,0.5522,0.1441,-1.2754, 0.0000, 0.4960
 -1.000, 0.7815, 0.01537, 0.00721,-0.1780,0.5458,0.1700,-1.3213, 0.0000, 0.4772
 -0.500, 0.8378, 0.01577, 0.00749,-0.1780,0.5387,0.1941,-1.3706, 0.0000, 0.4608
  0.000, 0.8902, 0.01601, 0.00776,-0.1773,0.5336,0.2153,-1.4165, 0.0000, 0.4466
  1.000, 0.9920, 0.01626, 0.00806,-0.1752,0.5218,0.2559,-1.5081, 0.0000, 0.4222
  1.500, 1.0445, 0.01639, 0.00816,-0.1745,0.5162,0.2768,-1.5568, 0.0000, 0.4118
  2.000, 1.0991, 0.01675, 0.00852,-0.1744,0.5105,0.2993,-1.6096, 0.0000, 0.4026
  2.500, 1.1499, 0.01725, 0.00909,-0.1737,0.5057,0.3248,-1.6584, 0.0000, 0.3941
  3.000, 1.1960, 0.01740, 0.00945,-0.1720,0.5013,0.3558,-1.7046, 0.0000, 0.3861
  3.500, 1.2426, 0.01748, 0.00977,-0.1704,0.4956,0.4115,-1.7533, 0.0000, 0.3786
  4.000, 1.2916, 0.01693, 0.01019,-0.1693,0.4906,1.0000,-1.8074, 0.0000, 0.3716
  4.500, 1.3424, 0.01741, 0.01053,-0.1685,0.4860,1.0000,-1.8630, 0.0000, 0.3652
  5.000, 1.3966, 0.01837, 0.01135,-0.1686,0.4799,1.0000,-1.9218, 0.0000, 0.3596
  5.500, 1.4363, 0.01896, 0.01202,-0.1660,0.4758,1.0000,-1.9727, 0.0000, 0.3535
  6.000, 1.4743, 0.01954, 0.01272,-0.1630,0.4713,1.0000,-2.0228, 0.0000, 0.3477
  6.500, 1.5132, 0.02003, 0.01325,-0.1602,0.4658,1.0000,-2.0788, 0.0000, 0.3421
  7.000, 1.5562, 0.02045, 0.01366,-0.1582,0.4605,1.0000,-2.1427, 0.0000, 0.3369
  7.500, 1.6041, 0.02093, 0.01409,-0.1571,0.4552,1.0000,-2.2186, 0.0000, 0.3323
  8.000, 1.6463, 0.02206, 0.01530,-0.1555,0.4490,1.0000,-2.3021, 0.0000, 0.3278
  8.500, 1.6557, 0.02257, 0.01599,-0.1474,0.4441,1.0000,-2.3590, 0.0000, 0.3215
  9.000, 1.6720, 0.02309, 0.01662,-0.1408,0.4377,1.0000,-2.4306, 0.0000, 0.3158
  9.500, 1.7042, 0.02331, 0.01684,-0.1371,0.4310,1.0000,-2.5232, 0.0000, 0.3110
 10.000, 1.7601, 0.02398, 0.01745,-0.1379,0.4222,1.0000,-2.6459, 0.0000, 0.3078
 10.500, 1.7482, 0.02495, 0.01868,-0.1274,0.4172,1.0000,-2.6892, 0.0000, 0.3014
 11.000, 1.7511, 0.02607, 0.01997,-0.1200,0.4099,1.0000,-2.7515, 0.0000, 0.2960
 11.500, 1.7729, 0.02675, 0.02070,-0.1158,0.4023,1.0000,-2.8407, 0.0000, 0.2917
 12.000, 1.8130, 0.02753, 0.02145,-0.1143,0.3937,1.0000,-2.9553, 0.0000, 0.2883
 12.500, 1.7836, 0.03042, 0.02468,-0.1047,0.3867,1.0000,-2.9690, 0.0000, 0.2829
 13.000, 1.7801, 0.03281, 0.02722,-0.0992,0.3775,1.0000,-3.0203, 0.0000, 0.2787
 13.500, 1.8195, 0.03334, 0.02766,-0.0979,0.3668,1.0000,-3.1469, 0.0000, 0.2757
 14.000, 1.7658, 0.03968, 0.03436,-0.0902,0.3565,1.0000,-3.1183, 0.0000, 0.2716
 14.500, 1.7718, 0.04264, 0.03735,-0.0874,0.3448,1.0000,-3.1883, 0.0000, 0.2686
 15.000, 1.7443, 0.04905, 0.04396,-0.0840,0.3315,1.0000,-3.1963, 0.0000, 0.2661
 15.500, 1.7481, 0.05287, 0.04776,-0.0821,0.3170,1.0000,-3.2633, 0.0000, 0.2637
 16.000, 1.7117, 0.06147, 0.05656,-0.0803,0.3002,1.0000,-3.2540, 0.0000, 0.2623
 16.500, 1.7108, 0.06648, 0.06156,-0.0794,0.2832,1.0000,-3.3130, 0.0000, 0.2604
 17.000, 1.7020, 0.07271, 0.06776,-0.0789,0.2649,1.0000,-3.3542, 0.0000, 0.2590
 17.500, 1.6801, 0.08111, 0.07630,-0.0792,0.2477,1.0000,-3.4457, 0.0000, 0.2584
 18.000, 1.6727, 0.08778, 0.08297,-0.0795,0.2315,1.0000,-3.6009, 0.0000, 0.2575
